iter	Passed	Remaining
463	769	888
464	770	886
465	771	884
466	772	882
467	773	879
468	774	877
469	776	875
470	778	873
471	779	871
472	780	869
473	781	867
474	782	864
475	784	863
476	785	861
477	786	859
478	787	856
479	788	854
480	789	852
481	791	851
482	793	848
483	794	846
484	795	844
485	796	842
486	798	840
487	799	838
488	800	836
489	801	834
490	802	832
491	803	829
492	805	828
493	806	826
494	808	824
495	809	822
496	810	820
497	811	818
498	812	816
499	813	813
500	815	811
501	816	810
502	817	807
503	818	805
504	820	803
505	821	802
506	822	800
507	824	798
508	825	796
509	826	794
510	828	792
511	829	790
512	830	788
513	832	786
514	833	784
515	835	783
516	836	781
517	838	779
518	839	778
519	841	776
520	842	774
521	843	772
522	844	770
523	846	768
524	847	766
525	849	765
526	850	763
527	852	761
528	853	760
529	855	758
530	856	756
531	857	754
532	858	752
533	860	750
534	861	748
535	863	747
536	865	746
537	866	744
538	868	742
539	869	740
540	870	738
541	872	737
542	873	735
543	874	733
544	875	731
545	878	730
546	879	728
547	881	726
548	882	724
549	883	723
550	885	721
551	886	719
552	887	717
553	888	715
554	890	713
555	892	712
556	893	710
557	894	708
558	895	706
559	897	705
560	898	703
561	899	701
562	901	699
563	902	697
564	903	695
565	905	693
566	907	693
567	908	691
568	909	689
569	911	687
570	912	685
571	913	683
572	914	681
573	916	680
574	917	678
575	918	676
576	919	674
577	921	672
578	922	671
579	924	669
580	925	667
581	926	665
582	927	663
583	929	661
584	930	660
585	931	658
586	932	655
587	933	654
588	935	652
589	936	650
590	937	649
591	938	647
592	940	645
593	941	643
594	942	641
595	943	639
596	945	637
597	946	636
598	947	634
599	949	633
600	951	631
601	952	629
602	953	627
603	954	625
604	955	624
605	957	622
606	958	620
607	960	619
608	962	617
609	965	617
610	966	615
611	968	613
612	969	612
613	971	610
614	973	609
615	975	607
616	976	606
617	979	605
618	980	603
619	982	602
620	983	600
621	985	598
622	986	597
623	988	595
624	989	593
625	990	591
626	993	590
627	994	589
628	995	587
629	997	585
630	998	583
631	999	582
632	1001	580
633	1002	578
634	1003	577
635	1004	575
636	1006	573
637	1008	572
638	1009	570
639	1010	568
640	1011	566
641	1013	564
642	1014	563
643	1016	561
644	1017	560
645	1019	558
646	1021	557
647	1023	555
648	1024	554
649	1025	552
650	1027	551
651	1029	549
652	1030	547
653	1032	546
654	1033	544
655	1034	542
656	1037	541
657	1038	539
658	1039	538
659	1041	536
660	1042	534
661	1043	532
662	1045	531
663	1046	529
664	1047	527
665	1049	526
666	1051	524
667	1052	523
668	1054	521
669	1055	519
670	1057	518
671	1058	516
672	1059	514
673	1060	513
674	1062	511
675	1064	510
676	1066	508
677	1067	506
678	1068	505
679	1069	503
680	1071	501
681	1072	500
682	1073	498
683	1075	496
684	1076	495
685	1078	493
686	1080	492
687	1081	490
688	1082	488
689	1084	487
690	1085	485
691	1086	483
692	1087	481
693	1088	480
694	1089	478
695	1090	476
696	1092	474
697	1094	473
698	1095	471
699	1096	469
700	1097	467
701	1098	466
702	1099	464
703	1100	462
704	1101	460
705	1102	459
706	1103	457
707	1104	455
708	1105	453
709	1106	452
710	1108	450
711	1109	448
712	1110	447
713	1112	445
714	1113	443
715	1114	442
716	1116	440
717	1117	438
718	1118	437
719	1119	435
720	1122	434
721	1124	432
722	1125	431
723	1126	429
724	1128	427
725	1129	426
726	1130	424
727	1131	422
728	1133	421
729	1134	419
730	1136	418
731	1138	416
732	1139	415
733	1140	413
734	1141	411
735	1143	410
736	1144	408
737	1145	406
738	1146	404
739	1147	403
740	1148	401
741	1149	399
742	1150	398
743	1152	396
744	1153	394
745	1154	393
746	1155	391
747	1156	389
748	1157	388
749	1159	386
750	1160	384
751	1161	382
752	1161	381
753	1162	379
754	1164	377
755	1166	376
756	1167	374
757	1168	372
758	1169	371
759	1170	369
760	1171	368
761	1173	366
762	1174	364
763	1175	363
764	1176	361
765	1178	360
766	1180	358
767	1181	356
768	1182	355
769	1183	353
770	1185	352
771	1186	350
772	1187	348
773	1188	347
774	1190	345
775	1191	343
776	1192	342
777	1194	340
778	1196	339
779	1197	337
780	1198	336
781	1199	334
782	1201	332
783	1202	331
784	1203	329
785	1205	328
786	1208	326
787	1209	325
788	1210	323
789	1212	322
790	1213	320
791	1215	319
792	1216	317
793	1217	316
794	1219	314
795	1221	313
796	1224	311
797	1225	310
798	1226	308
799	1228	307
800	1230	305
801	1231	303
802	1233	302
803	1234	300
804	1236	299
805	1238	297
806	1239	296
807	1240	294
808	1242	293
809	1243	291
810	1244	290
811	1246	288
812	1247	286
813	1248	285
814	1251	283
815	1252	282
816	1253	280
817	1254	279
818	1255	277
819	1257	275
820	1258	274
821	1259	272
822	1260	271
823	1262	269
824	1263	267
825	1264	266
826	1265	264
827	1266	263
828	1267	261
829	1268	259
830	1269	258
831	1270	256
832	1271	254
833	1272	253
834	1273	251
835	1275	250
836	1276	248
837	1277	246
838	1278	245
839	1280	243
840	1281	242
841	1282	240
842	1283	238
843	1284	237
844	1285	235
845	1286	234
846	1287	232
847	1288	230
848	1289	229
849	1290	227
850	1291	226
851	1293	224
852	1294	223
853	1295	221
854	1296	219
855	1297	218
856	1298	216
857	1299	215
858	1300	213
859	1301	211
860	1303	210
861	1304	208
862	1305	207
863	1306	205
864	1307	204
865	1308	202
866	1310	200
867	1311	199
868	1312	197
869	1313	196
870	1314	194
871	1315	193
872	1316	191
873	1317	189
874	1318	188
875	1319	186
876	1320	185
877	1321	183
878	1323	182
879	1324	180
880	1325	179
881	1326	177
882	1328	175
883	1329	174
884	1331	172
885	1332	171
886	1333	169
887	1335	168
888	1336	166
889	1337	165
890	1339	163
891	1340	162
892	1341	160
893	1342	159
894	1344	157
895	1346	156
896	1347	154
897	1349	153
898	1350	151
899	1352	150
900	1354	148
901	1356	147
902	1358	145
903	1360	144
904	1361	142
905	1363	141
906	1365	140
907	1367	138
908	1368	137
909	1370	135
910	1371	133
911	1373	132
912	1374	131
913	1376	129
914	1377	127
915	1379	126
916	1383	125
917	1384	123
918	1387	122
919	1388	120
920	1390	119
921	1391	117
922	1393	116
923	1395	114
924	1397	113
925	1398	111
926	1400	110
927	1401	108
928	1403	107
929	1404	105
930	1406	104
931	1407	102
932	1409	101
933	1411	99
934	1412	98
935	1414	96
936	1415	95
937	1417	93
938	1418	92
939	1420	90
940	1422	89
941	1423	87
942	1425	86
943	1426	84
944	1427	83
945	1429	81
946	1430	80
947	1432	78
948	1434	77
949	1435	75
950	1438	74
951	1440	72
952	1441	71
953	1443	69
954	1444	68
955	1445	66
956	1447	65
957	1448	63
958	1450	62
959	1454	60
960	1455	59
961	1456	57
962	1459	56
963	1461	54
964	1463	53
965	1464	51
966	1467	50
967	1468	48
968	1470	47
969	1471	45
970	1473	43
971	1474	42
972	1476	40
973	1477	39
974	1479	37
975	1481	36
976	1495	35
977	1496	33
978	1498	32
979	1499	30
980	1501	29
981	1502	27
982	1504	26
983	1505	24
984	1506	22
985	1507	21
986	1509	19
987	1510	18
988	1511	16
989	1512	15
990	1513	13
991	1515	12
992	1516	10
993	1517	9
994	1518	7
995	1519	6
996	1520	4
997	1522	3
998	1522	1
999	1523	0
